id,step,step_name,cluster,title,idea
S1-01,1,상담신청,상담 목적 전달,서점 인수 상담 시작 카드,재고·주문·모임 운영 중 도움받을 일을 골라 상담 목적을 적는다.
S1-02,1,상담신청,상담 목적 전달,인수인계 기한 메모,기존 점주가 떠나는 날짜를 적어 관리자에게 전달한다. 자동 우선 배정은 하지 않는다.
S1-03,1,상담신청,상담 목적 전달,넘겨받을 자료 체크리스트,재고 엑셀과 주문 기록 등 현재 가지고 있는 자료를 체크해 상담에 전달한다.
S1-04,1,상담신청,참석 가능한 후보 정리,후보 선택 바구니,날짜 화면을 옮겨도 고른 후보와 순위를 한쪽에 계속 보여준다.
S1-05,1,상담신청,참석 가능한 후보 정리,개인 일정 참고 패널,고객이 적어 둔 개인 일정 메모를 시간 선택 화면 옆에서 볼 수 있게 한다.
S1-06,1,상담신청,참석 가능한 후보 정리,선호 순위 끌어놓기,선택한 최대 3개 후보를 끌어놓아 희망 순서만 바꾼다.
S1-07,1,상담신청,참석 가능한 후보 정리,기한과 후보 날짜 비교,후보 날짜 옆에 인수인계 종료일까지 며칠 남는지 보여준다.
S1-08,1,상담신청,접수와 확정 이해,신청 전 한 문장 안내,제출 전에 “관리자가 후보 중 하나를 선택하면 예약이 확정됩니다”를 보여준다.
S1-09,1,상담신청,접수와 확정 이해,나가기 전 초안 저장,제출 전 선택과 상담 목적을 이 기기에 임시 저장해 이어서 작성하게 한다.
S1-10,1,상담신청,접수와 확정 이해,최종 신청 내용 읽어주기,제출 직전 날짜·시간·순위를 큰 글자와 음성으로 다시 확인하게 한다.
S2-01,2,상태확인,현재 상태 이해,내 신청 한 장 요약,신청 후보·접수 상태·기한을 한 화면에 모아 조회하게 한다.
S2-02,2,상태확인,현재 상태 이해,접수됨 옆 설명,“아직 상담 시간이 정해지지 않았습니다”를 상태 옆에 덧붙인다.
S2-03,2,상태확인,현재 상태 이해,지난 조회 이후 변화 표시,지난번과 달라진 후보 마감·확정 상태만 강조한다.
S2-04,2,상태확인,현재 상태 이해,마지막 갱신 시각,언제 조회한 정보인지 보여주고 지금 다시 확인하는 버튼을 둔다.
S2-05,2,상태확인,다시 방문하는 수고,내 신청 바로가기,로그인 후 본인의 신청 화면으로 바로 들어가는 링크를 제공한다.
S2-06,2,상태확인,다시 방문하는 수고,상태 화면 새로고침,신청 화면을 켜 둔 동안 정해진 간격으로 최신 상태를 조회한다.
S2-07,2,상태확인,다시 방문하는 수고,변경됐을 때만 알림,신청 상태가 실제로 바뀌면 고객 이메일로 알리고 신청 화면에 연결한다.
S2-08,2,상태확인,기다림의 기준,관리자 확인 시간 안내,운영자가 실제로 신청을 확인하는 시간대를 공개한다. 확정을 보장하지 않는다.
S2-09,2,상태확인,기다림의 기준,다음 확인 시간 제안,운영자의 확인 시간에 맞춰 다시 확인할 시각을 고객이 메모하게 한다.
S2-10,2,상태확인,기다림의 기준,현재 상태 설명 펼치기,접수·재선택·확정의 뜻과 각 상태에서 고객이 할 일을 짧게 펼쳐 본다.
S3-01,3,마감확인,마감 이유 이해,두 후보의 마감 내역,어떤 후보가 마감됐는지 날짜별로 보여주되 다른 고객 정보는 숨긴다.
S3-02,3,마감확인,마감 이유 이해,내 신청과 확정의 차이 설명,신청 당시 열려 있었어도 먼저 확정된 예약으로 마감될 수 있음을 설명한다.
S3-03,3,마감확인,마감 이유 이해,입력 실수 아님 안내,고객 입력 오류가 아니라 후보가 마감되어 다시 고르는 상황임을 알린다.
S3-04,3,마감확인,다음 행동 찾기,재선택하기 한곳에 모으기,마감 설명 바로 아래에 기존 재선택하기 버튼을 눈에 띄게 배치한다.
S3-05,3,마감확인,다음 행동 찾기,남은 열린 시간 미리보기,재선택으로 들어가기 전에 남은 날짜와 슬롯을 보여준다. 점유는 하지 않는다.
S3-06,3,마감확인,다음 행동 찾기,기한 전 후보 개수,고객이 적은 인수인계 기한 전에 열린 후보가 몇 개 있는지 보여준다.
S3-07,3,마감확인,다음 행동 찾기,재선택 경로 짧은 안내,"다른 날짜 선택, 순위 확인, 재제출의 세 동작을 짧게 안내한다."
S3-08,3,마감확인,마감 사실 전달,마감 이메일에서 이어가기,모든 후보가 마감되면 고객에게 알리고 인증 후 재선택 화면으로 연결한다.
S3-09,3,마감확인,마감 사실 전달,관리자에게 기한 알리기,기한 전 후보가 사라진 신청을 관리자 Slack에 알린다. 임의 배정하지 않는다.
S3-10,3,마감확인,마감 사실 전달,재선택 문의 내용 만들기,신청 번호와 마감 후보를 담은 문의 초안을 고객이 복사하도록 제공한다.
S4-01,4,일정재확인,개인 일정과 비교,두 달력 나란히 보기,개인 일정 메모와 예약 가능한 날짜를 한 화면에서 비교한다.
S4-02,4,일정재확인,개인 일정과 비교,참석 못 하는 날 표시,고객이 참석 불가능한 날을 이 화면에서만 접어 두도록 한다.
S4-03,4,일정재확인,개인 일정과 비교,오전·오후·저녁 필터,참석 가능한 시간대만 골라 보게 한다. 원래 슬롯은 바꾸지 않는다.
S4-04,4,일정재확인,개인 일정과 비교,전에 검토한 날짜 메모,전에 검토했다가 제외한 날짜와 이유를 개인 메모로 남긴다.
S4-05,4,일정재확인,남은 준비 시간 비교,인수인계 기한선,고객의 기한을 달력에 표시해 그 전의 상담 후보를 구별한다.
S4-06,4,일정재확인,남은 준비 시간 비교,상담 후 남는 일수,각 후보에서 점주가 떠나기까지 며칠 남는지 계산해 보여준다.
S4-07,4,일정재확인,남은 준비 시간 비교,후보 비교 메모 카드,"9/3은 준비 여유, 9/7은 하루 남음처럼 고객이 장단점을 적는다."
S4-08,4,일정재확인,열린 후보 탐색,기한 전 후보만 보기,고객이 선택한 기한 이전의 열린 슬롯만 필터링한다.
